Day,Group,Period,Class Type,Course Code,Department,Faculty Initials,Room No
Thursday,NA,7,L,EVS2016,BT,AA,CB402
Thursday,NA,8,MENTORING,MENTORING,BT,NA,CB402
Thursday,NA,9,LIBRARY,LIBRARY,BT,NA,NA
Friday,NA,1,L,BTC2104,BT,RC,CB401
Friday,NA,2,L,BTC2103,BT,KM,CB401
Friday,NA,3,L,BTC2103,BT,PC,CB401
Friday,NA,4,L,CSE2005,BT,SSN,CB402
Friday,NA,5,BREAK,NA,BT,NA,NA
Friday,NA,6,R,BTC2101,BT,NKJ,CB402
Friday,Group 1,7,LAB,BTC2155,BT,PC(MS),CB413
Friday,Group 1,8,LAB,BTC2155,BT,PC(MS),CB413
Friday,Group 2,7,LAB,BTC2155,BT,SHD(SM),CB415
Friday,Group 2,8,LAB,BTC2155,BT,SHD(SM),CB415
Friday,NA,9,LIBRARY,LIBRARY,BT,NA,NA
Monday,Group 1,1,P,CIV2158,CHE,SNM (DR),CME 310
Monday,Group 1,2,P,CIV2158,CHE,SNM (DR),CME 310
Monday,Group 1,3,P,CIV2157,CHE,TD (UK),CME 609
Monday,Group 1,4,P,CIV2157,CHE,TD (UK),CME 609
Monday,Group 1,5,BREAK,NA,CHE,NA,NA
Monday,Group 1,6,P,CIV2156,CHE,"PBC(DR,SDG)",CME 207
Monday,Group 1,7,P,CIV2156,CHE,"PBC(DR,SDG)",CME 207
Monday,Group 1,8,P,CIV2156,CHE,"PBC(DR,SDG)",CME 207
Monday,Group 2,1,P,CIV2152,CHE,"PS,RL (BP)",CME 012
Monday,Group 2,2,P,CIV2152,CHE,"PS,RL (BP)",CME 012
Monday,Group 2,3,T,CIV2101,CHE,SK,CME 307
Monday,Group 2,4,T,CIV2103,CHE,RR,CME 201
Monday,Group 2,5,BREAK,NA,CHE,NA,NA
Monday,Group 2,6,P,CIV2151,CHE,"SK (UK, BP)",CME B02
Monday,Group 2,7,P,CIV2151,CHE,"SK (UK, BP)",CME B02
Monday,Group 2,8,P,CIV2151,CHE,"SK (UK, BP)",CME B02
